sio2,tio2,al2o3,feo,fe2o3,mno,na2o,k2o,mgo,cao,p2o5,h2o,d,Author,Year
72.08,0.0,0.0,0.0,0.37,0.0,15.21,0.0,6.07,6.28,0.0,0.0,2.492000102996826,Owens-Illinois ,1942
71.03,0.0,0.0,0.0,1.1,0.0,15.39,0.0,6.14,6.35,0.0,0.0,2.5209999084472656,Owens-Illinois ,1942
69.69,0.0,0.0,0.0,1.87,0.0,15.66,0.0,6.36,6.42,0.0,0.0,2.5510001182556152,Owens-Illinois ,1942
73.17,0.0,0.0,0.0,0.37,0.0,15.32,0.0,5.48,5.65,0.0,0.0,2.476999998092652,Owens-Illinois ,1942
74.48,0.0,0.0,0.0,1.1,0.0,15.6,0.0,4.37,4.45,0.0,0.0,2.4830000400543213,Owens-Illinois ,1942
75.8,0.0,0.0,0.0,1.9,0.0,15.88,0.0,3.22,3.2,0.0,0.0,2.486999988555908,Owens-Illinois ,1942
72.87,0.0,0.0,0.0,0.37,0.0,14.32,0.0,6.06,6.37,0.0,0.0,2.4820001125335693,Owens-Illinois ,1942
73.64,0.0,0.0,0.0,1.13,0.0,12.63,0.0,6.27,6.33,0.0,0.0,2.493000030517578,Owens-Illinois ,1942
72.17,0.0,0.0,0.0,0.0,0.0,13.21,0.0,7.16,7.46,0.0,0.0,2.4820001125335693,Owens-Illinois ,1942
71.7,0.0,0.0,0.0,0.37,0.0,13.31,0.0,7.21,7.41,0.0,0.0,2.496999979019165,Owens-Illinois ,1942
70.45,0.0,0.0,0.0,1.09,0.0,13.56,0.0,7.3,7.6,0.0,0.0,2.5269999504089355,Owens-Illinois ,1942
69.21,0.0,0.0,0.0,1.9,0.0,13.69,0.0,7.52,7.68,0.0,0.0,2.556999921798706,Owens-Illinois ,1942
72.39,0.0,0.0,0.0,0.37,0.0,12.41,0.0,7.34,7.49,0.0,0.0,2.490000009536743,Owens-Illinois ,1942
74.17,0.0,0.0,0.0,1.89,0.0,8.78,0.0,7.5,7.66,0.0,0.0,2.509999990463257,Owens-Illinois ,1942
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.203000068664551,Safford H.W.,1947
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.9040000438690186,Safford H.W.,1947
50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2.5799999237060547,Safford H.W.,1947
75.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,2.381999969482422,Safford H.W.,1947
50.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.38700008392334,Safford H.W.,1947
50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,2.700000047683716,Safford H.W.,1947
47.06,0.0,5.88,0.0,0.0,0.0,23.53,0.0,0.0,23.53,0.0,0.0,2.693000078201294,Safford H.W.,1947
42.11,0.0,15.79,0.0,0.0,0.0,21.05,0.0,0.0,21.05,0.0,0.0,2.6659998893737797,Safford H.W.,1947
40.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,2.657999992370605,Safford H.W.,1947
38.1,0.0,23.81,0.0,0.0,0.0,19.05,0.0,0.0,19.05,0.0,0.0,2.650000095367432,Safford H.W.,1947
36.36,0.0,27.27,0.0,0.0,0.0,18.18,0.0,0.0,18.18,0.0,0.0,2.6440000534057617,Safford H.W.,1947
60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,2.638999938964844,Safford H.W.,1947
57.14,0.0,4.76,0.0,0.0,0.0,19.05,0.0,0.0,19.05,0.0,0.0,2.628999948501587,Safford H.W.,1947
54.55,0.0,9.09,0.0,0.0,0.0,18.18,0.0,0.0,18.18,0.0,0.0,2.621999979019165,Safford H.W.,1947
52.17,0.0,13.04,0.0,0.0,0.0,17.39,0.0,0.0,17.39,0.0,0.0,2.615999937057495,Safford H.W.,1947
48.0,0.0,20.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,2.6070001125335693,Safford H.W.,1947
64.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,2.5739998817443848,Safford H.W.,1947
59.26,0.0,11.11,0.0,0.0,0.0,14.81,0.0,0.0,14.81,0.0,0.0,2.571000099182129,Safford H.W.,1947
57.14,0.0,14.29,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,2.569999933242798,Safford H.W.,1947
71.43,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,2.5299999713897705,Safford H.W.,1947
68.97,0.0,3.45,0.0,0.0,0.0,13.79,0.0,0.0,13.79,0.0,0.0,2.5299999713897705,Safford H.W.,1947
75.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,2.490000009536743,Safford H.W.,1947
75.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.414999961853028,Colbert W.,1946
72.2,3.7,0.0,0.0,0.0,0.0,24.1,0.0,0.0,0.0,0.0,0.0,2.46399998664856,Colbert W.,1946
69.4,7.5,0.0,0.0,0.0,0.0,23.1,0.0,0.0,0.0,0.0,0.0,2.5239999294281006,Colbert W.,1946
66.6,11.2,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,2.5910000801086426,Colbert W.,1946
63.1,15.9,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.63700008392334,Colbert W.,1946
60.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.6760001182556152,Colbert W.,1946
56.5,24.7,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,2.7260000705718994,Colbert W.,1946
53.3,29.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,0.0,0.0,2.759999990463257,Colbert W.,1946
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20199990272522,Goto T.,1983
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2049999237060547,Goto T.,1982
66.7,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,2.486999988555908,Heinemann I.,1993
71.4,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,14.3,0.0,0.0,2.5290000438690186,Spinner S.,1954
80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.388000011444092,Dubrovo S.K.,1965
60.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.463000059127808,Dubrovo S.K.,1965
62.4,0.0,5.8,0.0,0.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0,2.502000093460083,Klonkowski A.,1983
65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,2.680000066757202,Shelby J.E.,1994
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,2.789999961853028,Shelby J.E.,1994
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,2.8499999046325684,Shelby J.E.,1994
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.200000047683716,Shelby J.E.,1994
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20199990272522,Pavlova G.A.,1975
93.86,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20199990272522,Pavlova G.A.,1975
74.99,0.0,0.0,0.0,0.0,0.0,25.01,0.0,0.0,0.0,0.0,0.0,2.421999931335449,Harsell W.B.,1966
74.99,0.0,0.0,0.0,0.0,0.0,25.01,0.0,0.0,0.0,0.0,0.0,2.421999931335449,Harsell W.B.,1966
66.99,0.0,0.0,0.0,0.0,0.0,33.01,0.0,0.0,0.0,0.0,0.0,2.4779999256134038,Harsell W.B.,1966
69.76,0.0,4.53,0.0,0.0,0.0,25.7,0.0,0.0,0.0,0.0,0.0,2.4579999446868896,Harsell W.B.,1966
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20199990272522,Manghnani M.H.,1974
90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.2880001068115234,Manghnani M.H.,1974
