0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,15.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,60.0,0.0
66.7,0.0,0.0,0.0,0.0,0.0,8.3,25.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,40.0,45.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0,0.0,56.1,0.0
0.0,0.0,0.0,0.0,0.0,4.86,45.29,0.0,0.0,0.0,49.85,0.0
80.24,0.0,0.0,0.0,0.0,0.0,19.76,0.0,0.0,0.0,0.0,0.0
78.71,0.0,0.0,0.0,0.0,0.0,0.0,10.04,0.0,11.25,0.0,0.0
57.0,0.0,12.0,0.0,0.0,0.0,23.5,0.0,7.2,0.3,0.0,0.0
69.08,7.91,0.0,0.0,0.0,0.0,0.0,23.01,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.27,0.0,15.32,0.0,0.0,0.0,0.0,0.0,0.0,16.41,0.0,0.0
74.99,0.0,0.0,0.0,0.0,0.0,0.0,8.34,16.67,0.0,0.0,0.0
0.0,0.0,9.11,0.0,0.0,0.0,18.22,18.22,0.0,0.0,54.45,0.0
0.0,0.0,11.4,0.0,0.0,0.0,33.38,0.0,0.0,0.0,55.22,0.0
66.7,0.0,0.0,0.0,0.0,0.0,20.8,12.5,0.0,0.0,0.0,0.0
50.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0
71.43,0.0,0.0,0.0,0.0,0.0,11.9,10.71,0.0,5.95,0.0,0.0
79.64,0.0,0.6,0.0,0.0,0.0,11.31,2.59,1.51,4.35,0.0,0.0
40.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0
0.0,0.0,21.41,0.0,0.0,0.0,0.0,42.83,0.0,0.0,35.76,0.0
86.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0
49.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.91,25.18,0.087,0.0
55.43,0.0,22.7,0.0,0.0,0.0,2.53,0.0,0.0,19.34,0.0,0.0
50.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
99.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.4,0.0,7.2,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0
70.6,0.0,3.2,0.0,0.0,0.0,10.0,3.3,12.9,0.0,0.0,0.0
72.75,0.0,1.18,0.0,0.04,0.0,13.07,0.0,4.76,8.2,0.0,0.0
54.0,0.0,11.7,0.0,0.0,24.6,9.7,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,6.0,0.0,0.0,0.0
69.82,0.0,0.0,0.0,0.0,0.0,18.89,0.0,7.3,3.99,0.0,0.0
63.68,0.0,0.0,0.0,0.0,0.0,13.57,0.0,0.0,22.75,0.0,0.0
65.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
50.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
77.02,0.0,1.71,0.0,0.0,0.0,21.27,0.0,0.0,0.0,0.0,0.0
50.0,0.0,25.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,9.0,0.0
67.41,0.0,7.97,0.0,2.13,0.0,0.0,7.85,7.27,7.37,0.0,0.0
60.0,0.0,9.3,0.0,0.0,0.0,21.0,0.0,9.3,0.4,0.0,0.0
50.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
75.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.0,10.0,0.0,0.0
47.29,0.0,16.24,0.0,0.0,0.0,0.0,0.0,15.08,21.39,0.0,0.0
72.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.36,17.74,0.0,0.0
65.0,0.0,0.0,0.0,0.0,0.0,17.5,17.5,0.0,0.0,0.0,0.0
0.0,0.0,19.1,0.0,0.0,0.0,51.3,0.0,0.0,0.0,29.6,0.0
65.0,0.0,10.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0
67.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,30.0,0.0,0.0
